name,family,target,control_estimate,candidate_estimate,control_relative_error,candidate_relative_error,absolute_error_change_pp
dwp/uc_payment_dist/SINGLE_annual_payment_24_000_to_25_200@2025,dwp_universal_credit,6951.222222222223,6957.512939453125,6929.44873046875,0.00090498002074969,-0.0031323256626533086,0.22273456419036183
dwp/uc_payment_dist/SINGLE_annual_payment_25_200_to_26_400@2025,dwp_universal_credit,6508.222222222223,6518.90576171875,6489.63818359375,0.0016415449767601044,-0.002855470817363568,0.12139258406034636
dwp/uc_payment_dist/SINGLE_annual_payment_26_400_to_27_600@2025,dwp_universal_credit,5913.444444444444,5901.88525390625,5947.3701171875,-0.001954730554550818,0.005737040917823809,0.3782310363272991
dwp/uc_payment_dist/SINGLE_annual_payment_28_800_to_30_000@2025,dwp_universal_credit,1653.7777777777778,1653.3655700683594,1650.5017395019531,-0.00024925217581067455,-0.0019809422522455208,0.1731690076434846
dwp/uc_payment_dist/SINGLE_annual_payment_2_400_to_3_600@2025,dwp_universal_credit,197136.66666666666,197619.07789230347,197315.17567253113,0.002447090304375018,0.0009055088983842223,-0.1541581405990796
dwp/uc_payment_dist/SINGLE_annual_payment_3_600_to_4_800@2025,dwp_universal_credit,377063.1111111111,377133.3975048065,376824.7805747986,0.0001864048527268499,-0.0006320706780629887,0.044566582533613876
dwp/uc_payment_dist/SINGLE_annual_payment_4_800_to_6_000@2025,dwp_universal_credit,195983.22222222222,196006.10721969604,196081.9817123413,0.00011677018682689584,0.0005039180854323734,0.03871478986054776
dwp/uc_payment_dist/SINGLE_annual_payment_6_000_to_7_200@2025,dwp_universal_credit,114033.33333333333,113709.17582702637,114046.63146972656,-0.002842655711548915,0.00011661622092868183,-0.27260394906202334
dwp/uc_payment_dist/SINGLE_annual_payment_7_200_to_8_400@2025,dwp_universal_credit,149043.77777777778,148945.04288482666,148708.5940246582,-0.0006624556517772464,-0.0022488946410049553,0.15864389892277087
hmrc.salary_sacrifice.users_above_cap@2025,hmrc_salary_sacrifice,3300000.0,3310142.457506424,3301125.3879010733,0.0030734719716435806,0.00034102663668888534,-0.2732445334954695
hmrc.salary_sacrifice.users_below_cap@2025,hmrc_salary_sacrifice,4300000.0,4312530.925374508,4299594.7601591665,0.002914168691746024,-9.424182344964424e-05,-0.281992686829638
hmrc.salary_sacrifice.users_total@2025,hmrc_salary_sacrifice,7700000.0,7622673.382880932,7600720.14806024,-0.010042417807671206,-0.012893487264903915,0.28510694572327094
hmrc.tfc.children_with_used_accounts@2025,hmrc_tfc,1151515.0,1148588.428237915,1151431.0919418335,-0.0025414968646391587,-7.286753378506047e-05,-0.24686293308540985
hmrc.tfc.government_top_up@2025,hmrc_tfc,599800000.0,599657535.1840911,599861349.4543235,-0.00023752053335930119,0.00010228318493419506,-0.013523734842510612
hmrc/dividend_income_count_income_band_100_000_to_150_000@2025,hmrc_spi,222000.0,222578.88404417038,222482.31531143188,0.00260758578455126,0.002172591492936418,-0.04349942916148418
hmrc/dividend_income_count_income_band_12_570_to_15_000@2025,hmrc_spi,115000.0,115074.04962778091,114918.26409244537,0.0006439098067905592,-0.0007107470222141431,0.006683721542358396
hmrc/dividend_income_count_income_band_150_000_to_200_000@2025,hmrc_spi,92000.0,92040.45379924774,92216.7066745758,0.0004397152092145837,0.0023555073323457136,0.191579212313113
hmrc/dividend_income_count_income_band_15_000_to_20_000@2025,hmrc_spi,372000.0,371727.824590683,371789.72939014435,-0.0007316543261210123,-0.0005652435748807846,-0.016641075124022776
hmrc/dividend_income_count_income_band_200_000_to_300_000@2025,hmrc_spi,75000.0,74926.22023010254,74954.1375656128,-0.0009837302652994792,-0.0006114991251627604,-0.03722311401367187
hmrc/dividend_income_count_income_band_20_000_to_30_000@2025,hmrc_spi,843000.0,843664.7532503605,843470.4051469908,0.0007885566433695005,0.0005580132230021189,-0.023054342036738156
hmrc/dividend_income_count_income_band_300_000_to_500_000@2025,hmrc_spi,49000.0,49076.62705421448,48974.64538002014,0.0015638174329485211,-0.0005174412240787429,-0.10463762088697781
